Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
Cinderella Swings It,"Comedy, Drama, Musical",69 min,N/A,N/A,6.5,1943
The Perfect Man,"Comedy, Family, Romance",100 min,"$16,535,005",27,5.4,2005
Out of the Depths,"Drama, War",61 min,N/A,N/A,5.3,1945
St. Elmo's Fire,"Drama, Romance",110 min,"$37,803,872",35,6.4,1985
Burn After Reading,"Comedy, Crime, Drama",96 min,"$60,355,347",63,7.0,2008
Chameleon Street,"Comedy, Drama",94 min,"$235,011",N/A,7.0,1989
Psych 3: This Is Gus,"Comedy, Crime, Mystery",96 min,N/A,N/A,7.6,2021
Code Name: The Cleaner,"Action, Comedy, Crime",84 min,"$8,135,024",33,4.6,2007
Me and the Kid,"Comedy, Crime, Drama",94 min,"$60,473",N/A,5.4,1993
Loyal Lives,Drama,N/A,N/A,N/A,N/A,1923
The Bamboo Blonde,"Music, Romance, War",67 min,N/A,N/A,5.8,1946
Benji the Hunted,"Adventure, Family",88 min,"$22,257,624",53,6.2,1987
Return of the Lash,Western,55 min,N/A,N/A,6.6,1947
Man of Conquest,"History, War, Western",105 min,N/A,N/A,6.1,1939
The Reckless Sex,"Comedy, Short",N/A,N/A,N/A,N/A,1921
Storm Over the Andes,"Drama, Music, War",82 min,N/A,N/A,5.5,1935
One Minute to Zero,"Drama, War",105 min,N/A,N/A,5.8,1952
An Open Secret,"Documentary, Crime",99 min,N/A,66,7.3,2014
Who Was That Lady?,"Comedy, Romance",115 min,N/A,N/A,6.6,1960
God's Country and the Woman,"Action, Drama, Romance",85 min,N/A,N/A,5.7,1937
The Storm Daughter,Drama,60 min,N/A,N/A,N/A,1924
Affairs of Geraldine,Comedy,68 min,N/A,N/A,6.3,1946
The Sword and the Sorcerer,"Action, Adventure, Fantasy",99 min,"$39,103,425",39,5.5,1982
Officer Thirteen,"Crime, Drama",62 min,N/A,N/A,5.8,1932
Meet the Wildcat,Mystery,66 min,N/A,N/A,6.3,1940
Into the Wild,"Adventure, Biography, Drama",148 min,"$18,354,356",73,8.1,2007
Idiots Deluxe,"Comedy, Short",18 min,N/A,N/A,7.6,1945
The Jazzmania Quintette,"Short, Music",10 min,N/A,N/A,6.2,1928
Monster Family,"Animation, Comedy, Family",93 min,"$127,259",N/A,4.8,2017
Carefree,"Comedy, Musical, Romance",83 min,N/A,N/A,7.0,1938
Shockproof,"Crime, Drama, Film-Noir",79 min,N/A,N/A,6.5,1949
Kathy Burke's All Woman,Comedy,N/A,N/A,N/A,8.5,2019–
Testosterone,"Comedy, Drama, Romance",105 min,"$185,078",34,5.3,2003
Don't Tell Mom the Babysitter's Dead,Comedy,102 min,"$25,196,249",35,6.3,1991
Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",88 min,"$55,703,475",23,6.1,2013
The Forty-Niners,Western,71 min,N/A,N/A,6.0,1954
Canyon Crossroads,"Adventure, Crime, Drama",83 min,N/A,N/A,5.9,1955
Silent Night,"Comedy, Drama",92 min,N/A,52,5.7,2021
Clockers,"Crime, Drama, Mystery",128 min,"$13,071,518",71,6.9,1995
The Gay Falcon,"Crime, Film-Noir, Mystery",67 min,N/A,N/A,6.5,1941
Imaginary Crimes,Drama,107 min,"$89,611",N/A,6.4,1994
Daughter of Don Q,"Action, Adventure, Crime",167 min,N/A,N/A,6.6,1946
Distant Thunder,Drama,101 min,N/A,N/A,8.0,1973
Laddie: The Man Behind the Movies,Documentary,83 min,N/A,N/A,7.4,2017
The Heart Raider,"Comedy, Romance",60 min,N/A,N/A,N/A,1923
Nothing But the Truth,"Crime, Drama, Mystery",108 min,N/A,64,7.1,2008
Empire State,"Action, Crime, Thriller",94 min,N/A,N/A,5.2,2013
Terror by Night,"Crime, Drama, Film-Noir",60 min,N/A,N/A,6.7,1946
Youth Must Have Love,Drama,N/A,N/A,N/A,N/A,1922
From Nurse to Worse,"Short, Comedy",17 min,N/A,N/A,7.6,1940
Public Access,"Drama, Thriller",90 min,N/A,N/A,5.2,1993
Our Little Girl,"Comedy, Drama, Family",65 min,N/A,N/A,6.4,1935
Dracula Reborn,Horror,102 min,N/A,N/A,1.8,2015
Wings of Youth,"Documentary, Short",19 min,N/A,N/A,6.3,1940
The Outrage,"Crime, Drama, Western",96 min,"$3,924,000",N/A,6.2,1964
The Son of Thomas Gray,"Short, Drama",N/A,N/A,N/A,N/A,1914
The Pretty One,"Comedy, Drama",90 min,"$13,769",53,6.3,2013
Janie Jones,"Biography, Drama, Music",114 min,"$6,840",52,6.6,2010
I Want You Back,"Comedy, Romance",116 min,N/A,62,6.5,2022
Madonna: Beautiful Stranger,"Short, Music",5 min,N/A,N/A,7.4,1999
The Return of Peter Grimm,"Comedy, Drama, Fantasy",83 min,N/A,N/A,6.2,1935
Devil's Squadron,"Action, Drama, Romance",80 min,N/A,N/A,6.3,1936
The Lusty Men,"Action, Drama, Sport",113 min,N/A,N/A,7.4,1952
Suicide Kings,"Comedy, Crime, Drama",106 min,"$1,740,156",43,6.9,1997
Dysfunctional Friends,"Comedy, Drama",111 min,"$13,546",N/A,5.0,2012
24 Hours to Live,"Action, Sci-Fi, Thriller",93 min,N/A,37,5.8,2017
Electric Slide,"Action, Biography, Crime",95 min,N/A,37,4.6,2014
Fruitvale Station,"Biography, Crime, Drama",85 min,"$16,101,339",85,7.5,2013
The Birdcage,Comedy,117 min,"$124,060,553",72,7.2,1996
